1915 Philadelphia Phillies	0.588	3.85
1915 Cleveland Indians	0.37	3.5
1915 New York Yankees	0.448	3.79
1915 Philadelphia Athletics	0.279	3.54
1915 Baltimore Terrapins	0.305	3.57
1915 Brooklyn Robins	0.519	3.48
1915 Boston Red Sox	0.652	4.32
1915 Chicago White Sox	0.6	4.63
1915 Washington Senators	0.548	3.67
1915 Chicago Whales	0.555	4.13
1915 Newark Pepper	0.516	3.77
1915 New York Giants	0.445	3.75
1915 Detroit Tigers	0.641	4.99
1915 Pittsburgh Rebels	0.551	3.79
1915 Chicago Cubs	0.468	3.65
1915 Pittsburgh Pirates	0.468	3.57
1915 Boston Braves	0.529	3.71
1915 St. Louis Cardinals	0.459	3.76
1915 St. Louis Browns	0.396	3.28
1915 St. Louis Terriers	0.547	3.99
1915 Cincinnati Reds	0.444	3.23
1916 St. Louis Cardinals	0.392	3.11
1916 Philadelphia Athletics	0.234	2.9
1916 Philadelphia Phillies	0.591	3.77
1916 Chicago White Sox	0.574	3.88
1916 Detroit Tigers	0.561	4.32
1916 Cincinnati Reds	0.387	3.26
1916 New York Giants	0.555	3.85
1916 Boston Red Sox	0.583	3.53
1916 New York Yankees	0.513	3.7
1916 Brooklyn Robins	0.603	3.75
1916 Chicago Cubs	0.429	3.33
1916 Cleveland Indians	0.49	4.01
1916 Pittsburgh Pirates	0.414	3.08
1916 St. Louis Browns	0.5	3.72
1916 Boston Braves	0.563	3.43
1916 Washington Senators	0.478	3.37
1917 Detroit Tigers	0.506	4.15
1917 Philadelphia Athletics	0.357	3.44
1917 Philadelphia Phillies	0.565	3.75
1917 St. Louis Cardinals	0.532	3.45
1917 New York Yankees	0.458	3.38
1917 St. Louis Browns	0.368	3.29
1917 Chicago White Sox	0.641	4.21
1917 Cleveland Indians	0.564	3.74
1917 Brooklyn Robins	0.449	3.28
1917 Boston Red Sox	0.573	3.54
1917 Washington Senators	0.471	3.46
1917 Boston Braves	0.459	3.41
1917 Chicago Cubs	0.471	3.52
1917 Cincinnati Reds	0.497	3.83
1917 Pittsburgh Pirates	0.325	2.96
1917 New York Giants	0.62	4.02
1918 St. Louis Browns	0.472	3.46
1918 Chicago White Sox	0.46	3.69
1918 Boston Braves	0.427	3.42
1918 New York Giants	0.573	3.87
1918 Philadelphia Phillies	0.44	3.44
1918 Boston Red Sox	0.595	3.76
1918 New York Yankees	0.476	3.91
1918 Brooklyn Robins	0.452	2.86
1918 Pittsburgh Pirates	0.516	3.7
1918 Detroit Tigers	0.43	3.72
1918 Cleveland Indians	0.566	3.91
1918 Cincinnati Reds	0.527	4.11
1918 Philadelphia Athletics	0.4	3.17
1918 Washington Senators	0.554	3.55
1918 Chicago Cubs	0.641	4.11
1918 St. Louis Cardinals	0.389	3.47
1919 Boston Red Sox	0.478	4.09
1919 Philadelphia Phillies	0.341	3.7
1919 St. Louis Cardinals	0.391	3.36
1919 Cleveland Indians	0.604	4.58
1919 Pittsburgh Pirates	0.511	3.4
1919 Chicago White Sox	0.629	4.76
1919 Detroit Tigers	0.571	4.41
1919 Philadelphia Athletics	0.257	3.26
1919 St. Louis Browns	0.479	3.81
1919 Boston Braves	0.407	3.32
1919 Chicago Cubs	0.536	3.24
1919 Cincinnati Reds	0.686	4.12
1919 New York Giants	0.621	4.32
1919 New York Yankees	0.567	4.1
1919 Brooklyn Robins	0.489	3.72
1919 Washington Senators	0.394	3.75
1920 Washington Senators	0.444	4.73
1920 Boston Braves	0.405	3.42
1920 Philadelphia Phillies	0.405	3.69
1920 Boston Red Sox	0.468	4.22
1920 Chicago White Sox	0.623	5.16
1920 Cleveland Indians	0.636	5.56
1920 New York Yankees	0.617	5.44
1920 St. Louis Browns	0.494	5.18
1920 Chicago Cubs	0.487	4.02
1920 Cincinnati Reds	0.532	4.15
1920 Detroit Tigers	0.394	4.21
1920 Brooklyn Robins	0.6	4.26
1920 New York Giants	0.555	4.4
1920 Pittsburgh Pirates	0.51	3.42
1920 St. Louis Cardinals	0.484	4.35
1920 Philadelphia Athletics	0.308	3.58
1921 Brooklyn Robins	0.507	4.39
1921 New York Yankees	0.641	6.2
1921 Boston Braves	0.516	4.71
1921 Chicago Cubs	0.418	4.37
1921 Cincinnati Reds	0.458	4.04
1921 New York Giants	0.614	5.49
1921 Boston Red Sox	0.487	4.34
1921 Chicago White Sox	0.403	4.44
1921 Cleveland Indians	0.61	6.01
1921 Detroit Tigers	0.461	5.73
1921 St. Louis Browns	0.526	5.42
1921 Washington Senators	0.519	4.57
1921 Philadelphia Phillies	0.331	4.01
1921 Pittsburgh Pirates	0.584	4.49
1921 St. Louis Cardinals	0.565	5.25
1921 Philadelphia Athletics	0.342	4.24
1922 Boston Red Sox	0.396	3.88
1922 New York Yankees	0.61	4.92
1922 St. Louis Browns	0.604	5.63
1922 Washington Senators	0.448	4.22
1922 Boston Braves	0.344	3.87
1922 Philadelphia Phillies	0.37	4.79
1922 St. Louis Cardinals	0.552	5.6
1922 Chicago White Sox	0.497	4.46
1922 Cleveland Indians	0.503	4.95
1922 Detroit Tigers	0.51	5.34
1922 Philadelphia Athletics	0.419	4.55
1922 Brooklyn Robins	0.49	4.79
1922 Pittsburgh Pirates	0.548	5.58
1922 Chicago Cubs	0.513	4.94
1922 Cincinnati Reds	0.551	4.91
1922 New York Giants	0.596	5.46
1923 New York Yankees	0.645	5.41
1923 Cleveland Indians	0.536	5.8
1923 Philadelphia Athletics	0.451	4.32
1923 New York Giants	0.621	5.58
1923 Boston Red Sox	0.396	3.79
1923 St. Louis Browns	0.481	4.47
1923 Chicago Cubs	0.539	4.91
1923 Cincinnati Reds	0.591	4.6
1923 Pittsburgh Pirates	0.565	5.1
1923 St. Louis Cardinals	0.513	4.84
1923 Detroit Tigers	0.535	5.36
1923 Washington Senators	0.484	4.65
1923 Brooklyn Robins	0.49	4.86
1923 Boston Braves	0.348	4.1
1923 Philadelphia Phillies	0.323	4.83
1923 Chicago White Sox	0.442	4.44
1924 Philadelphia Athletics	0.467	4.51
